key,0,1,2
21,0,"「重建伊修加德」是我國上議院與下議院共同承認的公共事業計劃。<hex:02100103>目前我國不問身份與出身，正在以公募的形式招聘人員。<hex:02100103>我國正請外國來的優秀工匠們進行技術指導以及提供優質上成的製品。<hex:02100103><hex:02100103><hex:02100103>此外蒼天街還發行了特殊票據「<hex:02280BFF05>Item<hex:F26D9F0103>」。重建工程的報酬將以此票據進行支付，此票據可以在蒼天街兌換各種各樣的物品。<hex:02100103>具體物品種類請向相關負責人艾妮進行確認。<hex:02100103><hex:02100103>除此之外，這邊還設定了<hex:02280CFF05>EObj<hex:F61EAE970103>，以方便每日造訪蒼天街的各位工匠確認重建進度。<hex:02100103>關於目前正在重建的區域以及「聯合重建工程」的情報將由相關負責人進行更新，推薦各位工匠能夠定期前來確認。<hex:02100103><hex:02100103>請工匠們為重建伊修加德盡一份力！<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>此外，重建計劃已經大功告成，<hex:02100103>感謝各位工匠一直以來的協助。<hex:0249020103><hex:0248020103>",""
22,0,"開始進行十字鎬大街的整備計劃！","弗朗塞爾"
23,0,"開始進行聖羅埃勒廣場的整備計劃！","弗朗塞爾"
24,0,"開始進行新巢居住區的整備計劃！","弗朗塞爾"
25,0,"本期的重建工程計劃全部完成了！","弗朗塞爾"
26,70308,"感謝大家每天對重建工作所做出的貢獻。<hex:02100103>我是擔任蒼天街重建工程總監的弗朗塞爾·德·艾因哈特。<hex:02100103><hex:02100103>在上回的整備計劃中，由於各位的熱情超出了我們的想像，致使沒能很好地做出應對，給各位工匠添麻煩了。<hex:02100103>今後我們會持續對此進行改進，請各位工匠繼續協助重建工程。<hex:02100103><hex:02100103>本期的預定計劃是建設新巢居住區，為在戰災中失去了家的市民們提供住所。<hex:02100103>為此需要先對十字鎬大街以及聖羅埃勒廣場進行整備作業。<hex:02100103>還請大家多多幫忙，拜託大家了。<hex:02100103><hex:02100103>弗朗塞爾",""
27,70309,"我是蒼天街重建工程的現場監督奧格伯特。<hex:02100103>本期首次聯合重建工程的目標是清除倒塌在這個廣場北邊的石塔殘骸。<hex:02100103>請按照以下的順序進行作業。<hex:02100103><hex:02100103>1.將大塊瓦礫進行粉碎<hex:02100103>2.挑選可以搬運的瓦礫碎片<hex:02100103>3.將瓦礫碎片搬運至堆積處<hex:02100103><hex:02100103>以上為工程全部內容，那就拜託了。<hex:02100103><hex:02100103>奧格伯特",""
28,70310,"我是負責檢驗窗口的弗洛帕桑！<hex:02100103>接下來的聯合重建工程需要繼續清除十字鎬大街的瓦礫！<hex:02100103>因為通道狹窄，請注意不要跌落下去！<hex:02100103>作業順序也寫在這裡！<hex:02100103><hex:02100103>1.將大塊瓦礫進行粉碎<hex:02100103>2.挑選可以搬運的瓦礫碎片<hex:02100103>3.將瓦礫碎片搬運至堆積處<hex:02100103><hex:02100103>各位大地使者也能參加聯合重建工程！<hex:02100103>在雲冠群島採集資源的閒暇之餘，請務必抽空前來參加！<hex:02100103><hex:02100103>弗洛帕桑",""
29,70311,"各位好！我是負責庫啵好運道的莉茲貝絲！<hex:02100103>十字鎬大街的重建工作進展得相當順利呢！<hex:02100103>接下來的聯合重建工程分為兩種！<hex:02100103><hex:02100103>【清掃作業】<hex:02100103>1.清掃殘留在道路上的細碎瓦礫<hex:02100103><hex:02100103>【鋪裝作業】<hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工土木資材<hex:02100103>3.對破損處進行鋪裝<hex:02100103><hex:02100103>請各位工匠在作業的空閒之餘，務必來挑戰一下庫啵好運道哦！<hex:02100103><hex:02100103>莉茲貝絲",""
30,70312,"十字鎬大街的整備作業終於接近尾聲！<hex:02100103>希望各位工匠能將中央廣場打造成供市民們休憩的場所。<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>以上為工程全部內容，那就拜託了。<hex:02100103><hex:02100103>奧格伯特",""
31,70313,"多虧了各位工匠的努力，十字鎬大街終於竣工了！<hex:02100103>這條大街將成為重建工程中最為重要的交通運輸樞紐。<hex:02100103>感謝各位的竭力相助！<hex:02100103><hex:02100103>接下來預定對聖羅埃勒廣場進行整備。<hex:02100103>不過因為地勢起伏太多，請各位一定注意要安全作業。<hex:02100103>那就拜託各位了。<hex:02100103><hex:02100103>弗朗塞爾",""
32,70314,"多虧了各位工匠，十字鎬大街完工了！<hex:02100103>接下來要在下一段道路上搭建腳手板，方便立足！<hex:02100103>聯合重建工程的內容如下。<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>奧格伯特",""
33,70315,"各位工匠們好，我是負責排名窗口的呂多佛蘭。<hex:02100103>我期待著各位能夠前來參加在聖羅埃勒廣場進行的聯合重建工程，清除那裡的瓦礫。<hex:02100103>作業順序如下。<hex:02100103><hex:02100103>1.將大塊瓦礫進行粉碎<hex:02100103>2.挑選可以搬運的瓦礫碎片<hex:02100103>3.將瓦礫碎片搬運至堆積處<hex:02100103><hex:02100103>我會認真記錄下各位每日對重建工作做出的所有貢獻！<hex:02100103><hex:02100103>呂多佛蘭",""
34,70316,"接下來的聯合重建工程預定對聖羅埃勒廣場進行清掃與鋪裝作業。<hex:02100103>請按照以下步驟進行作業。<hex:02100103><hex:02100103>【清掃作業】<hex:02100103>1.清掃殘留在道路上的細碎瓦礫<hex:02100103><hex:02100103>【鋪裝作業】<hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工土木資材<hex:02100103>3.對破損處進行鋪裝<hex:02100103><hex:02100103>以上為工程全部內容，那就拜託了。<hex:02100103><hex:02100103>奧格伯特",""
35,70317,"接下來的聯合重建工程將建設水路與圓台！<hex:02100103>作業順序如下！<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>以上為工程全部內容，那就拜託了。<hex:02100103><hex:02100103>奧格伯特",""
36,70318,"聖羅埃勒廣場完工了！<hex:02100103>感謝各位工匠對廣場和水路進行了精心地設計。<hex:02100103>也請大家來這裡一邊眺望來往的人群，一邊盡情地暢談休憩。<hex:02100103><hex:02100103>接下來終於要開始對居住區進行整備了。<hex:02100103>因為面積廣闊，所以作業量也非同小可，還請各位工匠多多幫忙。<hex:02100103><hex:02100103>弗朗塞爾",""
37,70319,"終於要開始著手居住區的工程了！<hex:02100103>請按照以下順序參加聯合重建工程清除瓦礫！<hex:02100103><hex:02100103>1.將大塊瓦礫進行粉碎<hex:02100103>2.挑選可以搬運的瓦礫碎片<hex:02100103>3.將瓦礫碎片搬運至堆積處<hex:02100103><hex:02100103>雖然面積廣闊，作業很辛苦，但還請努力一下吧。<hex:02100103><hex:02100103>奧格伯特",""
38,70320,"感謝各位平日裡大量的交納資材！<hex:02100103>多虧了各位，聯合重建工程計劃目前正在順利進行中。<hex:02100103>請各位像上回一樣繼續協助清除瓦礫！<hex:02100103><hex:02100103>1.將大塊瓦礫進行粉碎<hex:02100103>2.挑選可以搬運的瓦礫碎片<hex:02100103>3.將瓦礫碎片搬運至堆積處<hex:02100103><hex:02100103>以上為此次工程的內容，拜託各位了！<hex:02100103><hex:02100103>波特金",""
39,70321,"多虧了各位工匠，新巢居住區的瓦礫清除作業即將完成！<hex:02100103>請繼續協助以下的聯合重建工程！<hex:02100103><hex:02100103>1.將大塊瓦礫進行粉碎<hex:02100103>2.挑選可以搬運的瓦礫碎片<hex:02100103>3.將瓦礫碎片搬運至堆積處<hex:02100103><hex:02100103><hex:02100103>也請各位務必抽空來玩玩庫啵好運道！<hex:02100103><hex:02100103>莉茲貝絲",""
40,70322,"多虧了各位工匠，本期的瓦礫清除作業完成了！<hex:02100103>接下來的聯合重建工程是對新巢居住區整體進行清掃和鋪裝。<hex:02100103>因為面積廣闊需要分頭進行作業。<hex:02100103><hex:02100103>【清掃作業】<hex:02100103>1.清掃殘留在道路上的細碎瓦礫<hex:02100103><hex:02100103>【鋪裝作業】<hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工土木資材<hex:02100103>3.對破損處進行鋪裝<hex:02100103><hex:02100103>以上為工程全部內容，那就拜託了。<hex:02100103><hex:02100103>奧格伯特",""
41,70323,"終於到了建設住房的階段！<hex:02100103>這也是工匠們不斷交納資材的成果！<hex:02100103>接下來拜託各位工匠按照以下順序進行聯合重建工程。<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>為了不讓居民們挨凍，我們得為他們提供一個溫暖的家才行啊。<hex:02100103><hex:02100103>奧格伯特",""
42,70324,"看到新的房屋不斷地建設起來，真是感到很欣慰。<hex:02100103>就趁著這個勢頭建設下去吧！<hex:02100103>作業內容與上回相同。<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>如果攢夠了蒼天街振興票，就來找我兌換吧。<hex:02100103><hex:02100103>艾妮",""
43,70325,"還剩下3套住房尚未建設！<hex:02100103>這是本期最後的聯合重建工程！<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>以上為工程全部內容，那就拜託了。<hex:02100103><hex:02100103>奧格伯特",""
44,70326,"多虧了各位工匠們的努力，<hex:02100103>新巢居住區的全整備計劃終於完工了！<hex:02100103>這樣一來就能為雲霧街受凍的市民們<hex:02100103>提供溫暖的房子了！<hex:02100103>實在是非常感謝各位！<hex:02100103>在下次重建工程計劃立案之前，<hex:02100103>請各位繼續協助進行物資的籌備工作。<hex:02100103><hex:02100103>也請各位工匠今後繼續協助重建工程！<hex:02100103><hex:02100103>弗朗塞爾",""
45,0,"「庫啵好運道」是與交納物資聯動的重建抽獎活動。<hex:02100103><hex:02100103>將庫啵好運道指定的委託品交納給波特金後，將會獲得印章。<hex:02100103>攢齊5個印章後就能進行1次抽獎。<hex:02100103><hex:02100103>抽獎卡分為左側1格，右側3格，可以選擇刮開其中一格。<hex:02100103>左側格子中可以刮出2等到4等獎，<hex:02100103>右側格子中可以刮出1等到5等獎。<hex:02100103><hex:02100103>獎品的內容每次都會發生變化，<hex:02100103>詳細內容請確認獎品表。<hex:02100103>說不定還有隻能通過抽獎才可以獲得的獎品哦？！<hex:02100103><hex:02100103>對此有興趣的人，請找庫啵好運道窗口的莉茲貝絲了解詳情！",""
46,0,"此次，含有豐富資源的「雲冠群島」<hex:02100103>被指定成為了伊修加德重建工程的公共資源採集地。<hex:02100103><hex:02100103>為此特地向優秀的採集家們介紹「雲冠群島」的詳情。<hex:02100103>請充分運用特殊的機工工具「乙太鑽孔機」，<hex:02100103>採集更多的資材！<hex:02100103><hex:02100103>由於要做好品質管理，<hex:02100103>因此從雲冠群島採集回來的資材需要進行檢驗。<hex:02100103>採集回來後請先前往弗洛帕桑處進行檢驗。<hex:02100103>檢驗後會收到<hex:02280BFF05>Item<hex:F26D9F0103>作為謝禮。<hex:02100103><hex:02100103>詳情請去諮詢雲海探索窗口的奧瓦埃爾。",""
47,0,"開始進行落羽商業區的整備計劃！","弗朗塞爾"
48,0,"開始進行算盤大街的整備計劃！","弗朗塞爾"
49,0,"開始進行白霜官舍的整備計劃！","弗朗塞爾"
50,0,"本期的重建工程計劃全部完成了！","弗朗塞爾"
51,70327,"我是擔任蒼天街重建工程總監的弗朗塞爾·德·艾因哈特。<hex:02100103><hex:02100103>在大家的幫助下，新巢居住區的整備工程順利完成了，目前正在有序地推進居民的移居計劃。在此非常感謝各位的協助。<hex:02100103>本期的計劃預定將西側的區域打造成支撐起整個蒼天街經濟的商業區。待竣工後，作為總監我會盡最大努力使該地區繁榮熱鬧起來，還請各位繼續前來提供幫助與支持。<hex:02100103><hex:02100103>弗朗塞爾",""
52,70328,"我是蒼天街重建工程的現場監督奧格伯特。<hex:02100103>本期計劃預定將西側區域打造成商業區，還請各位協助。<hex:02100103>首先要從清除無名眾人廣場西側的瓦礫開始！<hex:02100103><hex:02100103>1.將大塊瓦礫進行粉碎<hex:02100103>2.挑選可以搬運的瓦礫碎片<hex:02100103>3.將瓦礫碎片搬運至堆積處<hex:02100103><hex:02100103>搬運工作要求體力與力量，歡迎對這方面有自信的人參加。<hex:02100103><hex:02100103>奧格伯特",""
53,70329,"我是負責裝備品修理的艾洛薇！<hex:02100103>為了對落羽商業區進行整備，請各位繼續清除瓦礫！<hex:02100103><hex:02100103>1.將大塊瓦礫進行粉碎<hex:02100103>2.挑選可以搬運的瓦礫碎片<hex:02100103>3.將瓦礫碎片搬運至堆積處<hex:02100103><hex:02100103>此外，為了方便大家進行作業，我這裡還準備了修理材料與染料等物資，請務必過來看看！<hex:02100103><hex:02100103>艾洛薇",""
54,70330,"從事聯合重建工程的各位工匠辛苦了，感謝各位平日裡對重建工作做出的貢獻。<hex:02100103>近距離觀賞各位工匠施展出精妙絕倫的技巧後，身為排名窗口負責人的我——呂多佛蘭已經無法抑制住心中的激動之情。<hex:02100103>還請各位工匠積極地參加聯合重建工程。<hex:02100103><hex:02100103>1.將大塊瓦礫進行粉碎<hex:02100103>2.挑選可以搬運的瓦礫碎片<hex:02100103>3.將瓦礫碎片搬運至堆積處<hex:02100103><hex:02100103>此外，也請各位工匠不要忘記來領取累計技巧點的報酬。<hex:02100103><hex:02100103>呂多佛蘭",""
55,70331,"請各位工匠協助落羽商業區的整備工作！<hex:02100103><hex:02100103>【清掃作業】<hex:02100103>1.清掃殘留在道路上的細碎瓦礫<hex:02100103><hex:02100103>【鋪裝作業】<hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工土木資材<hex:02100103>3.對破損處進行鋪裝<hex:02100103><hex:02100103>對於各位工匠所做的貢獻，我們深表謝意。為此我們將逐漸擴充商品的種類，還請務必來我這裡進行交換。<hex:02100103><hex:02100103>艾妮",""
56,70332,"落羽商業區的鋪裝工作，辛苦各位了！<hex:02100103>接下來要開始在落羽商業區建造住房與大規模設施了。<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>那就拜託了！<hex:02100103><hex:02100103>奧格伯特",""
57,70333,"各位工匠，感謝你們平日裡交納的委託品！<hex:02100103>期待各位能夠積極地參加聯合重建工程！<hex:02100103>本次的作業計劃如下：<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>那就拜託各位工匠了！<hex:02100103><hex:02100103>波特金",""
58,70334,"落羽商業區的住房建設工作終於接近尾聲！<hex:02100103>還請各位工匠也來幫忙進行建設！<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>此外活躍在雲冠群島的各位大地使者們，我們也期待著你們的協助！<hex:02100103><hex:02100103>弗洛帕桑",""
59,70335,"落羽商業區的整備計劃順利完成了！<hex:02100103>天鋼機工房的分館完成後，想必重建以及生活所需的機器將會被更高效地製造出來吧。<hex:02100103>接下來請各位工匠開始對冠以商人的象徵物之名的算盤大街進行整備！<hex:02100103><hex:02100103>弗朗塞爾",""
60,70336,"接下來要對預定與十字鎬大街相通的算盤大街進行瓦礫清除作業！<hex:02100103>請各位工匠積極參加聯合重建工程！<hex:02100103><hex:02100103>1.將大塊瓦礫進行粉碎<hex:02100103>2.挑選可以搬運的瓦礫碎片<hex:02100103>3.將瓦礫碎片搬運至堆積處<hex:02100103><hex:02100103>因存在多處斜坡，請各位工匠在作業時多多注意安全！<hex:02100103><hex:02100103>奧格伯特",""
61,70337,"這裡沒有庫啵果哦！不過這裡倒是有庫啵好運道！<hex:02100103>莉茲貝絲在此通知大家接下來要進行的聯合重建工程內容！<hex:02100103><hex:02100103>【清掃作業】<hex:02100103>1.清掃殘留在道路上的細碎瓦礫<hex:02100103><hex:02100103>【鋪裝作業】<hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工土木資材<hex:02100103>3.對破損處進行鋪裝<hex:02100103><hex:02100103>如果各位攢夠了印章的話，請務必來挑戰一下庫啵好運道哦！<hex:02100103><hex:02100103>莉茲貝絲",""
62,70338,"我有件事想要拜託各位工匠。<hex:02100103>希望各位工匠能夠參加布設算盤大街景觀的聯合重建工程。<hex:02100103>作業內容如下：<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>我期待各位美麗的工匠能夠運用華麗的技巧為整條大街創造出奪目的裝飾。<hex:02100103><hex:02100103>呂多佛蘭",""
63,70339,"在眾多工匠的努力付出下，算盤大街終於順利完成了！非常感謝！<hex:02100103>接下來我想推進白霜官舍的建造計劃，該設施建成後將成為參與重建工程的皇都工匠與勞動者的集合住宅。<hex:02100103>此次為大規模的設施建設計劃，因此也將多次進行聯合重建工程。希望各位工匠踴躍參加。<hex:02100103><hex:02100103>弗朗塞爾",""
64,70340,"白霜官舍預定建設成能夠接納多人入住的大規模設施！<hex:02100103>因此也會連續展開建造類的聯合重建工程，請大家根據自身的情況合理參加！<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>此次將是本期最後的聯合重建工程，有勞你們了！<hex:02100103><hex:02100103>奧格伯特",""
65,70341,"白霜官舍的施工作業全部完成，本期的整備計劃就此宣告竣工！<hex:02100103>各位工匠，感謝你們的協助！<hex:02100103>為了促進落羽商業區的經濟發展，今後預計將會對製造業、商業相關的稅金施行減免政策，並為商人提供全面的保障。<hex:02100103>希望以後這裡能夠形成人員往來密集、物資流通豐富的繁榮大街。<hex:02100103>對於參加重建工程的工匠們，在此請允許我對你們獻上最大程度的感謝。<hex:02100103><hex:02100103>弗朗塞爾",""
66,0,"開始進行西升歌文化區的整備計劃！","弗朗塞爾"
67,0,"開始進行詩伯門的整備計劃！","弗朗塞爾"
68,0,"開始進行東升歌文化區的整備計劃！","弗朗塞爾"
69,0,"開始進行天工紀念碑的建造計劃！","弗朗塞爾"
70,0,"蒼天街重建工程宣告全面竣工！","弗朗塞爾"
71,70342,"我是擔任蒼天街重建工程總監的弗朗塞爾·德·艾因哈特。<hex:02100103> <hex:02100103>多虧了各位的協助，第四期重建工程計劃終於開始動工了。<hex:02100103>本期將是最後的重建工程計劃。<hex:02100103>為了完成蒼天街的重建，還請各位過來幫忙！<hex:02100103><hex:02100103>弗朗塞爾",""
72,70343,"首先要進行的是第四期重建工程計劃的首次聯合重建工程。<hex:02100103>工作順序我就先寫在這裡了。<hex:02100103><hex:02100103>1.將大塊瓦礫進行粉碎<hex:02100103>2.挑選可以搬運的瓦礫碎片<hex:02100103>3.將瓦礫碎片搬運至堆積處<hex:02100103><hex:02100103>以上為工程全部內容，那就拜託了。<hex:02100103><hex:02100103>奧格伯特",""
73,70344,"下一次聯合重建工程共分為兩個部分。<hex:02100103><hex:02100103>【清掃作業】<hex:02100103>1.清掃殘留在道路上的細碎瓦礫<hex:02100103><hex:02100103>【鋪裝作業】<hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工土木資材<hex:02100103>3.對破損處進行鋪裝<hex:02100103><hex:02100103>我將各位揮灑汗水時的英姿都記錄了下來哦。<hex:02100103><hex:02100103>呂多佛蘭",""
74,70345,"多虧了各位的協助，鋪裝作業已經完成了，接下來要開始聯合重建工程建設住房了！<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>我期待著各位能施展出精湛的技藝！<hex:02100103><hex:02100103>奧格伯特",""
75,70346,"這裡沒有庫啵果哦！不過這裡倒是有庫啵好運道！<hex:02100103>請各位繼續協助進行西文化區的住房建設！<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>以上為此次工作順序！也請各位不要忘記到庫啵好運道抽獎哦！<hex:02100103><hex:02100103>莉茲貝絲",""
76,70347,"感謝各位平日裡交納的物資！<hex:02100103>在各位的努力下，聯合重建工程也在按照預定計劃順利進行中！<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>以上所列出的作業就拜託各位了！<hex:02100103><hex:02100103>波特金",""
77,70353,"多虧了各位的協助，西升歌文化區的整備計劃順利完成了。<hex:02100103>接下來將要開始詩伯門的整備計劃。<hex:02100103>詩伯門通往伊修加德砥柱層，將會讓人們往來蒼天街更加便利。<hex:02100103>請各位多多幫忙。<hex:02100103><hex:02100103>弗朗塞爾",""
78,70354,"我是雲冠群島素材檢驗窗口的負責人弗洛帕桑！<hex:02100103>這次將由我來為各位介紹聯合重建工程的內容！<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>本次工程後詩伯門即可竣工，拜託各位了！<hex:02100103><hex:02100103>弗洛帕桑",""
79,70348,"在各位的協助下，詩伯門終於完工了！<hex:02100103>接下來預定重建的區域是東升歌文化區。<hex:02100103>在做好聯合重建工程的準備前，請各位協助交納資材。<hex:02100103><hex:02100103>弗朗塞爾",""
80,70349,"準備開始在東文化區進行清除瓦礫的聯合重建工程！<hex:02100103>作業的順序我就先寫在這裡了。<hex:02100103><hex:02100103>1.將大塊瓦礫進行粉碎<hex:02100103>2.挑選可以搬運的瓦礫碎片<hex:02100103>3.將瓦礫碎片搬運至堆積處<hex:02100103><hex:02100103>這將是最後一次開展清除瓦礫的工作，感謝各位的幫助。<hex:02100103><hex:02100103>奧格伯特",""
81,70350,"我來為各位介紹此次清掃與鋪裝的聯合重建工程內容！<hex:02100103><hex:02100103>【清掃作業】<hex:02100103>1.清掃殘留在道路上的細碎瓦礫<hex:02100103><hex:02100103>【鋪裝作業】<hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工土木資材<hex:02100103>3.對破損處進行鋪裝<hex:02100103><hex:02100103>這樣一來蒼天街的鋪裝作業算是全部完成了！<hex:02100103><hex:02100103>莉茲貝絲",""
