key,0,1,2,3,4,5,6,7,8
62,"希爾迪布蘭德&娜修·瑪卡拉卡",0,"0",0,0,1,0,0,"「天知地知事件知，我乃漂泊的調查員……希爾迪迪迪迪迪迪布蘭德！！」<hex:02100103>調查員：希爾迪布蘭德&助手：娜修·瑪卡拉卡"
63,"娜娜莫·烏爾·娜莫",0,"0",0,0,1,0,0,"「人民的智慧、人民的勇氣、人民的笑顏。只有人民的生命，才是烏爾達哈無與倫比的至寶。」<hex:02100103>烏爾達哈第十七代國王：娜娜莫·烏爾·娜莫"
64,"蓋烏斯·範·巴埃薩",0,"0",0,0,1,0,0,"「為什麼愚昧的人民會依賴這些偽神？原因很簡單，就是因為那些長者、王者、執政者都是一群軟弱無能之輩！」<hex:02100103>第十四軍團軍團長：蓋烏斯·範·巴埃薩"
65,"梅爾維布·布魯菲斯維因",0,"0",0,0,1,0,0,"「勝利就像那變幻莫測的海面一般……只有熟知天候、讀懂潮汐變化，並能將其馴服支配化為己用的人才能得到眷顧。」<hex:02100103>黑渦團提督：梅爾維布·布魯菲斯維因"
66,"嘉恩·艾·神納",0,"0",0,0,1,0,0,"「我們要時而如柳枝般柔韌，時而如櫟木般強韌。經歷過風雨後，一定可以迎來和風拂面。」<hex:02100103>幻術三皇：嘉恩·艾·神納"
67,"勞班·阿爾丁",0,"0",0,0,1,0,0,"「哈哈哈哈！戰場是個好地方……你不知道會碰到什麼。眼前的敵人可能會成為自己的老師，而與自己並肩作戰的戰友則可能成為你的敵人。」<hex:02100103>恆輝隊局長：勞班·阿爾丁"
68,"光之戰士",0,"0",0,0,1,0,0,"「光明是不會消失的！」<hex:02100103>傳說中的英雄：光之戰士"
69,"弗利奧尼爾",0,"0",0,0,1,0,0,"「走自己認為正確的路！僅此而已！」<hex:02100103>傳說中的英雄：弗利奧尼爾"
70,"洋蔥劍士",0,"0",0,0,1,0,0,"「不要僅憑外表就下結論呀！」<hex:02100103>傳說中的英雄：洋蔥劍士"
71,"塞西爾·哈維",0,"0",0,0,1,0,0,"「我不是說過嗎？這也是我們的戰鬥。」<hex:02100103>傳說中的英雄：塞西爾·哈維"
72,"巴茲·克勞澤",0,"0",0,0,1,0,0,"「我老爸臨終前告訴我，要我到世界各地旅行，增長見識……而且……風在呼喚我！」<hex:02100103>傳說中的英雄：巴茲·克勞澤"
73,"蒂娜·布蘭福德",0,"0",0,0,1,0,0,"「別擔心，和平的未來一定已經近在咫尺了……」<hex:02100103>傳說中的英雄：蒂娜·布蘭福德"
74,"克勞德·斯特萊夫",0,"0",0,0,1,0,0,"「幻想已經結束了……我要活在我的現實中。」<hex:02100103>傳說中的英雄：克勞德·斯特萊夫"
75,"斯考爾·萊昂哈特",0,"0",0,0,1,0,0,"「我可不想被當成過去式！」<hex:02100103>傳說中的英雄：斯考爾·萊昂哈特"
76,"吉坦·特萊巴爾",0,"0",0,0,1,0,0,"「幫助他人需要理由嗎？」<hex:02100103>傳說中的英雄：吉坦·特萊巴爾"
77,"提達",0,"0",0,0,1,0,0,"「尤娜在那裡！那就去救她！就這麼簡單！」<hex:02100103>傳說中的英雄：提達"
78,"香托托",0,"0",0,0,1,0,0,"「哎呀！我可要爆發了哦！」<hex:02100103>傳說中的英雄：香托托"
79,"梵",0,"0",0,0,1,0,0,"「不管強不強，我們都一起走過來，也會一起走下去！」<hex:02100103>傳說中的英雄：梵"
80,"雷光",0,"0",0,0,1,0,0,"「不是能不能做到的問題。不做不行的話，就放手去做。」<hex:02100103>傳說中的英雄：雷光"
81,"風箏貓",0,"0",0,0,1,0,0,"該生物有著蝙蝠一樣的翅膀，以及貓一樣的四肢，並且智能也不算很差，謎團非常多。博物學者認為它是所屬百獸綱的魔物，而一部分妖異學者則認為它是排名第十一階級的下級妖異。"
82,"瓦努族",0,"0",0,0,1,0,0,"在阿巴拉提亞雲海浮島上生活的居民。因長期居住在與大地隔絕的雲海之上，所以與其他種族的交流幾乎為零。近些年來，地上的人們藉助飛空艇踏上了雲海，使得他們的警戒心也有所增強。"
83,"骨頜族",0,"0",0,0,1,0,0,"在龍堡參天高地南部地區居住的狩獵民族，外貌與昆蟲非常相似。他們發展出了獨特的鍊金術與冶金術，可以通過焚燒一種能夠驅龍的香料來保護自己。在集體中有那麼一個類似王的個體，他與其他個體都進行了精神連結，統率起來非常方便。"
84,"霧中行者夕霧",0,"0",0,0,1,0,0,"「多瑪的忍者們，報恩的時候到了！」<hex:02100103>多瑪忍者：夕霧"
85,"胖陸行鳥",0,"0",0,0,1,0,0,"在幼鳥時期就暴飲暴食，結果長大後身體變得巨大無比的陸行鳥。在哥布林族的民間傳說中，這種胖陸行鳥在地底世界被稱作神鳥，受人崇拜……也不知是真是假。"
86,"獅鷲",0,"0",0,0,1,0,0,"棲息在阿巴拉提亞山脈深處的一種有翼魔獸。在高空以出色的視力鎖定獵物後，急速下落捕捉獵物的過程最為精彩。其兇猛的姿態早在古時就被作為勇猛的象徵了，所以阿拉米格的紋章也設計成了獅鷲的模樣。"
87,"刁曼",0,"0",0,0,1,0,0,"棲息在索姆阿爾靈峰山頂的大型龍族。因身上漆黑的鱗片，所以被伊修加德的人們稱為黑龍，是條非常可怕的龍。它與七大天龍中的尼德霍格相互結伴成雙成對，人們也恐懼地稱它為尼德霍格的伴龍。"
88,"埃斯蒂尼安",0,"0",0,0,1,0,0,"「尼德霍格，給我等著，我一定會將你親手了結……」<hex:02100103>蒼天之龍騎士：埃斯蒂尼安"
89,"露琪亞",0,"0",0,0,1,0,0,"「沉溺在過去的恩怨中是無法放眼看向未來的。」<hex:02100103>神殿騎士團副騎士長：露琪亞"
90,"伊塞勒",0,"0",0,0,1,0,0,"「我們已被眾神所拋棄，只有昔日的聖女能夠為我們帶來救贖！」<hex:02100103>冰之巫女：伊塞勒"
91,"希爾達",0,"0",0,0,1,0,0,"「這裡可沒有太多機會看到傳說中的英雄，你們有什麼事就直說吧。」<hex:02100103>反抗組織的領導人：希爾達"
92,"瑪托雅",0,"0",0,0,1,0,0,"「你們專程到這個偏僻角落裡來找我，肯定是遇到了你們這些小毛孩處理不了的問題了吧。」<hex:02100103>隱者：瑪托雅"
93,"埃德蒙·德·福爾唐",0,"0",0,0,1,0,0,"「我作為歷史悠久的福爾唐家族的一家之主，衷心歡迎各位的光臨。」<hex:02100103>福爾唐家家主：埃德蒙·德·福爾唐"
94,"比布魯斯",0,"0",0,0,1,0,0,"守護迦巴勒幻想圖書館禁書庫大門的大型妖異，應該是薩雷安的魔法師們從虛無界召喚出來的。由於被盟約所拘束，所以只好忠實地守護書庫。"
95,"奧爾什方",0,"0",0,0,1,0,0,"「……好……很好！啊……這久經鍛鍊的肉體！」<hex:02100103>福爾唐家的騎士：奧爾什方"
96,"艾默里克",0,"0",0,0,1,0,0,"「您就是那位德高望重的冒險者吧，果然一表人才。」<hex:02100103>神殿騎士團總騎士長：艾默里克"
97,"羅波那",0,"0",0,0,1,0,0,"骨頜族所召喚的尚武之神。性情豪放，以武為榮，以勇為耀，是位勇猛的蠻神。他將戰鬥看得非常神聖，每次都會手持變幻莫測的月光劍「明月之笑」進行決鬥。"
98,"俾斯麥",0,"0",0,0,1,0,0,"瓦努族所召喚的叢雲之神。在民間的傳說中，雲神的外形是一條在雲海中游曳的巨大白鯨。而在瓦努族的神話中，正是雲神引導他們的祖先到達了浮島之上，「氣泡吹息」則可以驅散世間的邪惡。"
99,"尼德霍格",0,"0",0,0,1,0,0,"塵世幻龍的七子之一，也就是七大天龍之一。在持續了千年的龍詩戰爭中，率領龍族的正是尼德霍格。因此，尼德霍格也是伊修加德人憎恨與恐懼的對象。"
100,"塵世幻龍",0,"0",0,0,1,0,0,"「無知之徒，休得猖狂。我乃原初之塵世幻龍！」<hex:02100103>塵世幻龍"
101,"深瞳",0,"0",0,0,1,0,0,"擁有巨大眼球的小型妖異。一般認為這種妖異是通過憑依在死不瞑目的生物的眼球上而誕生的。雖然根據妖異學者的分類，此妖異只是「妖異十二階」中排第十二階級的最下級妖異，但絕不可因此而輕視它的眼力和魔力。"
102,"古鳥",0,"0",0,0,1,0,0,"棲息於阿爾迪納德次大陸北部的有翼獸。雖然長期和其它鳥類一樣被分在有翼綱中，但在近年來，認為它們是繼承了古代種血統的甲鱗綱的學說也逐漸受到重視。另外古鳥似乎經常受到龍族的影響而眷屬化。"
103,"猴面雀",0,"0",0,0,1,0,0,"發現於阿巴拉提亞雲海上的一種水桶腰金魚眼的謎一般的生物。在博物學家之間流傳的最為有力的一種說法是，猴面雀應該是奧猴等猿猴的近親。另外，瓦努族似乎認為猴面雀是愚者的象徵。"
104,"長頸駝",0,"0",0,0,1,0,0,"生息在阿巴拉提亞雲海的浮島上的百獸綱草食野獸，長長的脖子是其特徵。有種說法認為它們的脖子如此發達是為了能吃到鄰接浮島的樹木。或許是因為棲息在樹木稀少的浮島上，它們對進入自己領地的入侵者會採取非常過激的反應。"
105,"斑攫獸",0,"0",0,0,1,0,0,"棲息在森林地帶的百獸綱肉食野獸。在狩獵陸行鳥等野生動物方面是極其優秀的獵人，彎刀一般的獠牙能夠輕易撕裂獵物的皮肉。其性格非常兇猛，一旦發狂便會不顧一切，甚至可能去襲擊龍族。"
106,"毛爬蟲",0,"0",0,0,1,0,0,"棲息在龍堡內陸低地的大型百蟲綱魔物。身體表面黑黃相間的警戒色格外顯眼地向外界昭示著它身為有毒生物的事實。雖說其肉可以食用，但如果不進行適當的處理就入口，可能會引發強烈的腹痛。"
107,"智蛙",0,"0",0,0,1,0,0,"薩雷安的魔法師們通過在蟾蜍上施加魔法而創造的使魔。擁有可以和人類對話的智能，甚至可以使用魔法。缺陷是一旦停止和人類接觸，便會逐漸喪失理性，最終回到原本的野生蟾蜍狀態。"
108,"維德佛爾尼爾",0,"0",0,0,1,0,0,"繼承了聖龍赫拉斯瓦爾格血統的高級龍族。與聖龍的大部分性格沉靜的眷屬不同，喜歡力量與力量的碰撞，性格剛猛。似乎與妄圖襲擊天極白堊宮的暗鱗黑龍是宿敵的關係。"
109,"長鬚豹女王",0,"0",0,0,1,0,0,"隨著年齡的增長而不斷積累，最終獲得令人驚異的龐大魔力的雷獸長鬚豹女王。通過巨大的角向大氣中散布的魔力，甚至能對周圍的天氣產生影響。作為傳說中的妖獸，一直在當地的獵人之間口耳相傳。"
110,"爆彈之母",0,"0",0,0,1,0,0,"由地靈族的鍊金術士所發明的新型爆彈怪。要製造這種尺寸的爆彈怪，需要在能抗高壓的超硬鈷鐵所製成的培育爐中壓縮培養，並且伴隨著爆炸的風險。相對的，它的火力也是普通爆彈怪的十倍以上。"
111,"劇毒美人",0,"0",0,0,1,0,0,"生長於奧恩原生林的恐怖食獸植物。這種植物會將花瓣擬態為野獸的形象，引誘獵物靠近並捕食。根據聖茉夏娜植物園的研究結果，這種植物甚至經常將人類識別為獵物。"
112,"艾奇德娜",0,"0",0,0,1,0,0,"被封印於魔航船虛無方舟內的大型妖異。第五星曆時代興盛一時的魔法城邦「瑪哈」曾將其作為戰略兵器而使役。據妖異學者的看法，在「妖異十二階」中，該妖異相當於上級貴族級中的第二階級。"
113,"皮平·塔魯平",0,"0",0,0,1,0,0,"「我的養父勞班十分信任你們。因此，我也會相信你們，會盡全力幫助你們的。」<hex:02100103>恆輝隊協耀將：皮平·塔魯平"
114,"茱莉安·曼德維爾",0,"0",0,0,1,0,0,"「謝謝你一直那麼關照我兒子！我是小希爾迪的媽媽，我叫茱莉安！」<hex:02100103>茱莉安·曼德維爾"
115,"莫古靈",0,"0",0,0,1,0,0,"「所以就趁這段時間把大家不想做的麻煩事交給你們處理了庫啵！」<hex:02100103>雲海莫古力族長老：莫古靈"
116,"沙里貝爾",0,"0",0,0,1,0,0,"「所以我才不喜歡和蠢貨說話啊，頭腦簡單，一點就著。」<hex:02100103>蒼穹騎士：沙里貝爾"
117,"朗德洛克斯",0,"0",0,0,1,0,0,"「巨人的體內 有很多機械哥布！好想 在那裡 住一段時間哥布……」<hex:02100103>哥布林族小姑娘：朗德洛克斯"
118,"仙人刺先生",0,"0",0,0,1,0,0,"「招募性格開朗，喜歡給人們帶來歡樂的拉拉菲爾族，待遇優厚。工作地點：金碟遊樂場；保密協議：有。」<hex:02100103>摘自曼德維爾家族及曼德維爾集團的招聘廣告"
119,"雷古拉·範·休著斯",0,"0",0,0,1,0,0,"「讓我見識見識英雄的真正實力！」<hex:02100103>第六軍團軍團長：雷古拉·範·休著斯"
120,"托爾丹七世",0,"0",0,0,1,0,0,"「我們的目標是徹底解決千年來的禍根。為了這個，我已將生死置之度外。」<hex:02100103>伊修加德教皇：托爾丹七世"
